Driver,h0_exp,R2_exp,RMSE_exp,logL_exp,AIC_exp,BIC_exp,a_lin,R2_lin,RMSE_lin,logL_lin,AIC_lin,BIC_lin,Age,Gender,DayNight,dRMSE,dAIC,dBIC,winner_AIC,AIC_strength
54,6.33631734057716,0.240573037707237,0.1584033139053,1001.13775240862,-2000.27550481724,-1994.50781754005,-0.113052117807983,0.182525199093784,0.164345737322432,914.113276054307,-1826.22655210861,-1820.45886483143,B,F,N,0.00594242341713208,174.048952708621,174.048952708621,exp,>10 (strong)
55,3.4954715854459,-3.43897125586145,0.167585109123467,1208.50059688877,-2415.00119377755,-2408.90255093379,-0.128994995771201,-10.6265621840087,0.271218880793407,-375.420015850465,752.840031700931,758.93867454469,B,F,N,0.10363377166994,3167.84122547848,3167.84122547848,exp,>10 (strong)
56,5.21077866492199,-0.395057920282586,0.210116354473414,710.152312179373,-1418.30462435875,-1411.78125030825,-0.134956324088904,-0.66446362966254,0.2295096192644,265.998041643276,-529.996083286551,-523.47270923606,A,M,N,0.0193932647909865,888.308541072194,888.308541072194,exp,>10 (strong)
57,5.69196374945186,-0.756608036116421,0.199565437574594,622.916837406698,-1243.8336748134,-1237.75250903567,-0.106611312922787,-1.55203915699249,0.240542357402799,19.1411364765736,-36.2822729531471,-30.2011071754217,A,M,N,0.0409769198282051,1207.55140186025,1207.55140186025,exp,>10 (strong)
58,5.8964056218194,-0.515090144629654,0.161839759074462,1312.41136568875,-2622.82273137749,-2616.7323290809,-0.108857281139974,-1.13326657498204,0.192038608741989,754.145560981196,-1506.29112196239,-1500.2007196658,A,M,N,0.0301988496675267,1116.5316094151,1116.5316094151,exp,>10 (strong)
59,8.60328251368643,-0.457103289477137,0.257384995142754,-136.543077056083,275.086154112167,280.787354293024,-0.076126781210136,-0.761356814058547,0.282983900067387,-346.18347791796,694.366955835921,700.068156016778,A,M,N,0.0255989049246329,419.280801723754,419.280801723754,exp,>10 (strong)
60,5.11407739516551,-1.611509013126,0.282603891701583,-238.742963984009,479.485927968018,484.824166118084,-0.0949146236663241,-2.89387661321181,0.345082921781717,-545.940776870179,1093.88155374036,1099.21979189042,B,M,N,0.0624790300801337,614.39562577234,614.39562577234,exp,>10 (strong)
61,5.61496791759556,-0.299182907467788,0.236350478733557,42.9832613493344,-83.9665226986688,-78.454998050278,-0.116681058666294,-0.515788641451647,0.255294031389078,-98.0329356730262,198.065871346052,203.577395994443,B,M,N,0.0189435526555215,282.032394044721,282.032394044721,exp,>10 (strong)
62,6.55723355500414,-0.540596471240503,0.222791792187438,112.720441165714,-223.440882331427,-218.221972623808,-0.0954654402047552,-0.97413875874345,0.252199124897635,-56.5140137463346,115.028027492669,120.246937200288,B,M,N,0.0294073327101977,338.468909824096,338.468909824096,exp,>10 (strong)
63,2.59430914905074,-0.595934029328628,0.136725483800421,1074.89472914347,-2147.78945828694,-2142.24883675829,-0.15664455908913,-5.18734278282352,0.269211798684375,-200.881602924948,403.763205849897,409.303827378554,A,M,N,0.132486314883953,2551.55266413684,2551.55266413684,exp,>10 (strong)
64,3.48099647239496,-0.225268419616872,0.187741981510379,648.834056316543,-1295.66811263309,-1289.8215226578,-0.151626285458098,-1.20767676427558,0.252007531691148,-103.922179426724,209.844358853448,215.690948828739,B,M,N,0.0642655501807685,1505.51247148653,1505.51247148653,exp,>10 (strong)
