Profile,r,p,N_pairs
1,0.0936455527404949,5.06263793045819e-07,2868
2,0.023459631877645,0.0351040929787258,8068
3,-0.0186930770481786,0.1046934508011,7535
4,-0.0749005962920481,8.74788616397157e-08,5092
5,-0.0379526007230951,0.0277664197747195,3362
6,0.0828894011987985,2.06472952640792e-10,5863
7,0.0409262472835659,0.00522672163437066,4655
8,0.0173426720207205,0.219654882705053,5011
9,-0.0566479604205027,1.86868126201402e-07,8454
10,0.0560168728274469,2.16870067511472e-05,5741
11,0.0170943159158576,0.116663914141321,8425
12,-0.0643188947810994,2.94616772936627e-12,11756
13,0.0326680281244786,0.00309447858279472,8198
14,0.115622487386128,1.2197881346913e-09,2747
15,-0.038760682500655,0.0150458600948758,3934
16,0.0256676924918678,0.178104564912089,2754
17,-0.01353031900135,0.320943965727131,5383
18,0.067192390615569,6.78889486695539e-06,4478
19,-0.0626216803747842,0.00107983408023288,2722
20,-0.0809083833601205,1.18984811304158e-09,5634
21,0.0341182947279441,0.0227697296466602,4455
22,-0.0682061763312586,1.59410552963514e-07,5894
23,-0.040168873910878,0.0152119788877436,3651
24,0.0542903532580081,5.22886414867196e-05,5546
25,-0.0381294565670923,0.0168145569507134,3931
26,0.00955137544374166,0.593760382867013,3121
27,0.000399075560425896,0.972535680364816,7445
28,0.0406395953717946,0.0193776868598302,3310
29,-0.00898328139172117,0.553447404694257,4354
30,0.0260719462053582,0.215559584951649,2258
31,0.0663537978689166,4.42863198594055e-07,5781
32,-0.00793915082754835,0.522037400963729,6505
33,0.099683139241358,4.68219351800633e-07,2545
34,-0.0274492387669365,0.129244175889344,3056
35,-0.0103327460134251,0.528516649168144,3723
36,0.0375527487683298,0.0190146405257208,3900
37,-0.0466743052827804,0.0062337331524376,3433
38,-0.000932896016619109,0.944834507107512,5504
39,0.0209468536684183,0.145225044384609,4837
40,0.0605413583081015,0.0019648808462185,2612
41,0.00738503368277308,0.661385298698028,3520
42,0.0874627935391598,2.66515440828599e-05,2300
43,-0.00791691145781616,0.6476472390067,3335
44,-0.0546277610922582,0.0257664094210077,1666
45,-0.0143366608301081,0.336777400799742,4491
46,-0.0359440062418381,0.00480842911062385,6152
47,-0.0248759642587608,0.16759006293018,3079
48,-0.0792023963533812,0.0010141487557629,1719
49,0.096318030481593,3.49836974385029e-11,4710
50,-0.0686544667544206,0.000892159255981605,2339
51,-0.0139719989117718,0.379881965614386,3952
52,0.00401139598219712,0.791633210282058,4340
53,-0.00260925179953506,0.881597122387344,3261
54,-0.0407699964902944,0.0322721223394217,2758
55,-0.0112462671554136,0.495694397911045,3672
56,-0.0180370036941158,0.182746537296049,5458
57,0.0421159382840849,0.00827672516645804,3930
58,0.0130904793000408,0.41186199156963,3932
59,-0.00388295530145961,0.832117417947019,2983
60,-0.0174803464076503,0.451552362150151,1857
61,-0.000651144040314984,0.975384718649357,2248
62,-0.0900659320681523,4.78817476746218e-05,2032
63,0.0927030260913813,4.83907592649457e-06,2424
64,0.067776431377005,0.000199264353230217,3008
